Date	Volume (m3)	Qout (m3/d)	Qin (m3/d)	Qin (mm/d)
2000-10-19	38111000.0	1252800.0	1340858.1746669486	0.07886216629063693
2000-10-20	38147000.0	1252800.0	1336682.0230842393	0.0786165472037023
2000-10-21	38324000.0	1252800.0	1407839.8547986988	0.08280167346356251
2000-10-22	38537000.0	1252800.0	1348520.6954103895	0.07931283512086187
2000-10-23	39105000.0	734400.0	1065757.685378287	0.06268221456807181
2000-10-24	39894000.0	398304.0	534787.8192021707	0.031453383157845356
2000-10-25	40775000.0	411264.0	1161901.924702838	0.06833690880251823
2000-10-26	41253000.0	587520.0	1110510.7679807167	0.06531435352869534
2000-10-27	41840000.0	388800.0	1021975.8819482947	0.06010720109697325
2000-10-28	42354000.0	390614.39999999997	952396.6014736011	0.056014916848834105
2000-10-29	42868000.0	404956.80000000005	964522.257871129	0.05672808364698745
2000-10-30	43309000.0	388800.0	874884.2568261306	0.05145605184084449
2000-10-31	43727000.0	388800.0	829889.2657616641	0.048809685107499966
2000-11-01	44183000.0	388800.0	886671.1495609023	0.05214929435706389
2000-11-02	44563000.0	388800.0	788390.3584675398	0.04636893947925941
2000-11-03	44791000.0	561600.0	827238.8048861736	0.04865379905611971
2000-11-04	44981000.0	561600.0	791598.3727021322	0.046557617862112245
2000-11-05	45171000.0	561600.0	777743.8721075411	0.045742769617602146
2000-11-06	45323000.0	561600.0	738241.1111432826	0.04341942672947274
2000-11-07	45551000.0	561600.0	822607.9564182961	0.04838143710998681
2000-11-08	45703000.0	561600.0	744281.2073639594	0.043774673154162495
2000-11-09	45893000.0	561600.0	787336.7137889378	0.04630696968750586
2000-11-10	46045000.0	561600.0	746520.1993811876	0.043906358789617496
2000-11-11	46235000.0	561600.0	765461.8384351139	0.04502040553752132
2000-11-12	46387000.0	561600.0	750210.7517693308	0.04412341750741243
2000-11-13	46539000.0	561600.0	695961.407908611	0.04093275882513629
2000-11-14	46691000.0	561600.0	748004.459586367	0.043993655102777925
2000-11-15	46843000.0	561600.0	721256.1191421933	0.04242045958369855
2000-11-16	46995000.0	561600.0	743503.0991652398	0.04372890895678586
2000-11-17	47109000.0	561600.0	708040.1975321597	0.04164316916821268
2000-11-18	47266000.0	561600.0	751298.4973927028	0.044187392935875314
2000-11-19	47384000.0	561600.0	712433.4444202483	0.04190155664959588
2000-11-20	47502000.0	561600.0	695999.9901010448	0.040935028025065906
2000-11-21	47620000.0	561600.0	712363.2181397366	0.041897426312237064
2000-11-22	47738000.0	648000.0	796341.2101393042	0.04683656640546033
2000-11-23	47895000.0	648000.0	810822.7228932083	0.04768829217968103
2000-11-24	48170000.0	734400.0	1030802.5597948057	0.06062633947363141
2000-11-25	48485000.0	734400.0	1078653.8011679426	0.06344069570136524
2000-11-26	48760000.0	734400.0	1042301.4708567411	0.06130264443523022
2000-11-27	49075000.0	734400.0	1084366.4631765336	0.06377668418232117
2000-11-28	49389000.0	734400.0	1077869.0775475465	0.06339454241997196
2000-11-29	49782000.0	734400.0	1119686.2536809407	0.06585400693332791
2000-11-30	50215000.0	734400.0	1197663.2901980542	0.07044020265249196
2000-12-01	50647000.0	734400.0	1186699.2161759175	0.06979535396894541
2000-12-02	51041000.0	777600.0	1197759.8657509785	0.07044588271430476
2000-12-03	51447000.0	777600.0	1213208.9315717109	0.07135451482828073
2000-12-04	51854000.0	777600.0	1207264.430722074	0.07100489081630397
2000-12-05	52260000.0	777600.0	1200680.8182782093	0.070617677650027
2000-12-06	52667000.0	777600.0	1186205.476575205	0.06976631482429067
2000-12-07	53074000.0	777600.0	1196641.3763808028	0.07038009910171128
2000-12-08	53155000.0	777600.0	881607.4709333712	0.05185147563655239
2000-12-09	53114000.0	777600.0	764830.3458335809	0.04498326449196236
2000-12-10	53358000.0	475200.0	743668.8957382459	0.04373866023187062
2000-12-11	53684000.0	432000.0	780455.2359012887	0.04590223765562194
2000-12-12	53968000.0	432000.0	742952.6168960147	0.04369653250931672
2000-12-13	54294000.0	432000.0	785650.3314403817	0.04620778562187233
2000-12-14	54678000.0	432000.0	840701.0031470563	0.04944557415802485
2000-12-15	54904000.0	432000.0	682623.2967125252	0.04014828186625882
2000-12-16	55233000.0	432000.0	786101.4593522996	0.04623431857299287
2000-12-17	55568000.0	432000.0	791755.8179649059	0.04656687795742218
2000-12-18	55904000.0	432000.0	793309.8711732309	0.04665827912486472
2000-12-19	56282000.0	432000.0	834184.2776129488	0.049062294925029996
2000-12-20	56617000.0	432000.0	768026.7890425166	0.0451712623284556
2000-12-21	56953000.0	432000.0	785649.792145603	0.046207753903413716
2000-12-22	57288000.0	432000.0	690405.1573008765	0.04060596963321564
2000-12-23	57624000.0	475200.0	810771.5480390936	0.047685282346179365
2000-12-24	57960000.0	475200.0	808923.2521399856	0.04757657538424734
2000-12-25	58253000.0	475200.0	788352.3279813409	0.04636670272776444
2000-12-26	58505000.0	475200.0	746536.7760177352	0.04390733373946131
2000-12-27	58799000.0	440639.99999999994	759472.1244768886	0.04466812233029528
2000-12-28	59092000.0	395712.0	699750.1706859334	0.04115559375714183
2000-12-29	59389000.0	388800.0	715726.7954337137	0.04209525408917919
2000-12-30	59864000.0	388800.0	884561.357533338	0.052025207579759675
2000-12-31	60555000.0	388800.0	1103988.919699518	0.06493077300288623
2001-01-01	61116000.0	388800.0	978034.0576546267	0.05752277604737996
2001-01-02	61721000.0	388800.0	1022369.8604661502	0.06013037282383972
2001-01-03	62282000.0	388800.0	969761.0604226473	0.05703620222789872
2001-01-04	62842000.0	388800.0	978586.2742333905	0.057555254497737865
2001-01-05	63405000.0	388800.0	970977.9058414977	0.057107770621621805
2001-01-06	64102999.99999999	388800.0	1109202.833189546	0.06523742774120538
2001-01-07	64848000.0	388800.0	1162416.5024070835	0.06836717353390322
2001-01-08	65242999.99999999	626400.0	1049453.3027509153	0.06172327725589461
2001-01-09	65462000.0	855360.0	1096630.8569665048	0.06449801077807303
2001-01-10	65681000.0	855360.0	1097323.6660845017	0.06453875813592444
2001-01-11	65724999.99999999	855360.0	920872.6620716108	0.054160845927520435
2001-01-12	65724999.99999999	855360.0	781221.953124404	0.04594733189622813
2001-01-13	65769000.00000001	855360.0	926499.9564316529	0.05449181353615527
